split,image,nearest_train_image,cosine
val,predict11_scaled-A0112_frame101.png,predict11_scaled-A0071_frame79.png,0.526236
val,predict11_scaled-A0112_frame33.png,predict11_scaled-A0071_frame79.png,0.431921
val,predict11_scaled-A0112_frame34.png,predict11_scaled-A0071_frame79.png,0.451805
val,predict11_scaled-A0112_frame35.png,predict11_scaled-A0071_frame79.png,0.448489
val,predict11_scaled-A0112_frame36.png,predict11_scaled-A0071_frame79.png,0.447872
val,predict11_scaled-A0112_frame37.png,predict11_scaled-A0071_frame79.png,0.434464
val,predict11_scaled-A0112_frame38.png,predict11_scaled-A0071_frame79.png,0.450774
val,predict11_scaled-A0112_frame39.png,predict11_scaled-A0071_frame79.png,0.452466
val,predict11_scaled-A0112_frame90.png,predict11_scaled-A0071_frame79.png,0.502958
val,predict11_scaled-A0112_frame91.png,predict11_scaled-A0071_frame79.png,0.542879
val,scaled-A0212_frame1.png,predict12_scaled-A0057_frame96.png,0.588382
val,scaled-A0212_frame2.png,predict12_scaled-A0057_frame96.png,0.588382
val,scaled-A0212_frame3.png,predict12_scaled-A0057_frame96.png,0.588382
val,scaled-A0212_frame4.png,predict12_scaled-A0057_frame96.png,0.588382
val,scaled-A0212_frame5.png,predict12_scaled-A0057_frame96.png,0.588382
val,scaled-A0213_frame1.png,predict12_scaled-A0057_frame60.png,0.595443
val,scaled-A0213_frame2.png,predict12_scaled-A0057_frame60.png,0.595443
val,scaled-A0213_frame3.png,predict12_scaled-A0057_frame60.png,0.595443
val,scaled-A0214_frame1.png,predict12_scaled-A0057_frame41.png,0.507993
val,scaled-A0215_frame1.png,predict12_scaled-A0044_frame93.png,0.498148
val,scaled-A0217_frame1.png,predict12_scaled-A0044_frame124.png,0.570051
val,scaled-A0217_frame2.png,predict12_scaled-A0044_frame124.png,0.570051
val,scaled-A0217_frame3.png,predict12_scaled-A0044_frame124.png,0.570051
val,scaled-dicom-1472.png,scaled-dicom-1584.png,0.750845
val,scaled-dicom-1473.png,scaled-dicom-1584.png,0.755775
val,scaled-dicom-1474.png,scaled-dicom-1584.png,0.751626
val,scaled-dicom-1475.png,scaled-dicom-1584.png,0.75042
val,scaled-dicom-1476.png,scaled-dicom-1584.png,0.750371
val,scaled-dicom-1477.png,scaled-dicom-3581.png,0.743077
val,scaled-dicom-1478.png,scaled-dicom-1584.png,0.748433
val,scaled-dicom-1479.png,scaled-dicom-1584.png,0.748456
val,scaled-dicom-1480.png,scaled-dicom-1584.png,0.742515
val,scaled-dicom-1481.png,scaled-dicom-1584.png,0.749297
val,scaled-dicom-1482.png,scaled-dicom-1584.png,0.748846
val,scaled-dicom-1483.png,scaled-dicom-1584.png,0.750149
val,scaled-dicom-1484.png,scaled-dicom-1584.png,0.75547
val,scaled-dicom-1485.png,scaled-dicom-1584.png,0.754978
val,scaled-dicom-1486.png,scaled-dicom-1584.png,0.756104
val,scaled-dicom-1487.png,scaled-dicom-1581.png,0.751821
val,scaled-dicom-1488.png,scaled-dicom-1581.png,0.751599
val,scaled-dicom-1489.png,scaled-dicom-1581.png,0.751741
val,scaled-dicom-1490.png,scaled-dicom-1581.png,0.762396
val,scaled-dicom-1491.png,scaled-dicom-1581.png,0.762288
val,scaled-dicom-1492.png,scaled-dicom-1581.png,0.762542
val,scaled-dicom-1493.png,scaled-dicom-1584.png,0.769233
val,scaled-dicom-1494.png,scaled-dicom-1584.png,0.769302
val,scaled-dicom-1495.png,scaled-dicom-1584.png,0.769767
val,scaled-dicom-1496.png,scaled-dicom-1584.png,0.769322
val,scaled-dicom-1497.png,scaled-dicom-1584.png,0.769374
val,scaled-dicom-1498.png,scaled-dicom-1584.png,0.75934
val,scaled-dicom-1499.png,scaled-dicom-1584.png,0.762312
val,scaled-dicom-1500.png,scaled-dicom-1584.png,0.761836
val,scaled-dicom-1501.png,scaled-dicom-1584.png,0.762746
val,scaled-dicom-1502.png,scaled-dicom-1584.png,0.761744
val,scaled-dicom-1503.png,scaled-dicom-1584.png,0.7613
val,scaled-dicom-1504.png,scaled-dicom-1584.png,0.762525
val,scaled-dicom-1505.png,scaled-dicom-1584.png,0.760729
val,scaled-dicom-1506.png,scaled-dicom-1584.png,0.76022
val,scaled-dicom-1507.png,scaled-dicom-1584.png,0.761777
val,scaled-dicom-1508.png,scaled-dicom-1584.png,0.761324
val,scaled-dicom-1509.png,scaled-dicom-1584.png,0.760767
val,scaled-dicom-1510.png,scaled-dicom-1584.png,0.762114
val,scaled-dicom-1511.png,scaled-dicom-1584.png,0.761694
val,scaled-dicom-1512.png,scaled-dicom-1584.png,0.761206
val,scaled-dicom-1513.png,scaled-dicom-1584.png,0.762367
val,scaled-dicom-1514.png,scaled-dicom-1584.png,0.762424
val,scaled-dicom-1515.png,scaled-dicom-1584.png,0.761939
val,scaled-dicom-1516.png,scaled-dicom-1584.png,0.762936
val,scaled-dicom-1517.png,scaled-dicom-1584.png,0.771592
val,scaled-dicom-1518.png,scaled-dicom-1584.png,0.771525
val,scaled-dicom-1519.png,scaled-dicom-1273.png,0.764698
val,scaled-dicom-1520.png,scaled-dicom-1584.png,0.773538
val,scaled-dicom-1521.png,scaled-dicom-1584.png,0.773434
val,scaled-dicom-1522.png,scaled-dicom-1584.png,0.773901
val,scaled-dicom-1523.png,scaled-dicom-1203.png,0.788374
val,scaled-dicom-1524.png,scaled-dicom-1203.png,0.787865
val,scaled-dicom-1525.png,scaled-dicom-1203.png,0.789015
val,scaled-dicom-1526.png,scaled-dicom-1203.png,0.754739
val,scaled-dicom-1527.png,scaled-dicom-1203.png,0.811032
val,scaled-dicom-1528.png,scaled-dicom-1203.png,0.755865
val,scaled-dicom-1529.png,scaled-dicom-1203.png,0.809016
val,scaled-dicom-1530.png,scaled-dicom-1203.png,0.794257
val,scaled-dicom-1531.png,scaled-dicom-1203.png,0.809971
val,scaled-dicom-1532.png,scaled-dicom-5099.png,0.760421
val,scaled-dicom-1533.png,scaled-dicom-5099.png,0.761066
val,scaled-dicom-1534.png,scaled-dicom-5099.png,0.760535
val,scaled-dicom-1535.png,scaled-dicom-5102.png,0.764785
val,scaled-dicom-1536.png,scaled-dicom-5102.png,0.764927
val,scaled-dicom-1537.png,scaled-dicom-5102.png,0.764293
val,scaled-dicom-1538.png,scaled-dicom-5102.png,0.770131
val,scaled-dicom-1539.png,scaled-dicom-5100.png,0.766902
val,scaled-dicom-1540.png,scaled-dicom-5102.png,0.770179
val,scaled-dicom-1541.png,scaled-dicom-5102.png,0.761768
val,scaled-dicom-1542.png,scaled-dicom-5102.png,0.761822
val,scaled-dicom-1543.png,scaled-dicom-5102.png,0.762019
val,scaled-dicom-1544.png,scaled-dicom-1584.png,0.752559
val,scaled-dicom-1545.png,scaled-dicom-1584.png,0.752069
val,scaled-dicom-1546.png,scaled-dicom-5102.png,0.75095
val,scaled-dicom-1547.png,scaled-dicom-1584.png,0.753918
val,scaled-dicom-1548.png,scaled-dicom-1584.png,0.753416
val,scaled-dicom-1549.png,scaled-dicom-1584.png,0.748556
val,scaled-dicom-1550.png,scaled-dicom-1584.png,0.754705
val,scaled-dicom-1551.png,scaled-dicom-1584.png,0.754276
val,scaled-dicom-1552.png,scaled-dicom-1584.png,0.746476
val,scaled-dicom-1553.png,scaled-dicom-1584.png,0.757042
val,scaled-dicom-1554.png,scaled-dicom-1584.png,0.75649
val,scaled-dicom-1555.png,scaled-dicom-1273.png,0.751292
val,scaled-dicom-1556.png,scaled-dicom-1273.png,0.760709
val,scaled-dicom-1557.png,scaled-dicom-1273.png,0.760954
val,scaled-dicom-1558.png,scaled-dicom-1273.png,0.759608
val,scaled-dicom-1559.png,scaled-dicom-1584.png,0.770877
val,scaled-dicom-1560.png,scaled-dicom-1584.png,0.770857
val,scaled-dicom-1561.png,scaled-dicom-1273.png,0.771824
val,scaled-dicom-1562.png,scaled-dicom-1273.png,0.769085
val,scaled-dicom-1563.png,scaled-dicom-1584.png,0.771835
val,scaled-dicom-1564.png,scaled-dicom-5102.png,0.768674
val,scaled-dicom-1565.png,scaled-dicom-5100.png,0.76764
val,scaled-dicom-1566.png,scaled-dicom-5100.png,0.767778
val,scaled-dicom-1567.png,scaled-dicom-5099.png,0.76717
val,scaled-dicom-1568.png,scaled-dicom-5102.png,0.767183
val,scaled-dicom-1569.png,scaled-dicom-5102.png,0.767243
val,scaled-dicom-1570.png,scaled-dicom-5102.png,0.766536
val,scaled-dicom-1571.png,scaled-dicom-5102.png,0.767843
val,scaled-dicom-1572.png,scaled-dicom-5102.png,0.767817
val,scaled-dicom-1573.png,scaled-dicom-5102.png,0.764666
val,scaled-dicom-1574.png,scaled-dicom-5102.png,0.771155
val,scaled-dicom-1575.png,scaled-dicom-5102.png,0.770788
val,scaled-dicom-1576.png,scaled-dicom-5102.png,0.770564
val,scaled-dicom-1577.png,scaled-dicom-5102.png,0.77249
val,scaled-dicom-1578.png,scaled-dicom-5102.png,0.772538
val,scaled-dicom-1579.png,scaled-dicom-5102.png,0.77225
val,scaled-dicom-1580.png,scaled-dicom-5102.png,0.7707
val,scaled-dicom-4368.png,scaled-dicom-507.png,0.668196
