candidate_id,source_repository,title,doi,url,publisher,year,license_declared,access_declared,files_n,size_bytes,resource_type,matched_query,relevance_score,provisional_tier,mentions_ultrasound,mentions_dataset
10.6084/m9.figshare.c.6917232.v1,openaire,Respiratory variation in the internal jugular vein does not predict fluid responsiveness in the prone position during adolescent idiopathic scoliosis surgery: a prospective cohort study,10.6084/m9.figshare.c.6917232.v1,,,2024,,,,,,scoliosis ultrasound,-5,T1,False,False
10.57702/7ql4pmoe,openaire,Breast Cancer Diagnosis Dataset,10.57702/7ql4pmoe,,,2024,,,,,,breast ultrasound dataset,-5,T4,False,True
10.5281/zenodo.15546909,openaire,BCMID: Breast Cancer Multimodal Imaging Dataset (Updated),10.5281/zenodo.15546909,,,2025,,,,,,breast ultrasound dataset,-5,T4,False,True
10.5281/zenodo.14970848,openaire,BCMID: Breast Cancer Multimodal Imaging Dataset,10.5281/zenodo.14970848,,,2025,,,,,,breast ultrasound dataset,-5,T4,False,True
10.5281/zenodo.19402690,openaire,BCMID: Breast Cancer Multimodal Imaging Dataset (Updated),10.5281/zenodo.19402690,,,2026,,,,,,breast ultrasound dataset,-5,T4,False,True
10.57702/oheozt1r,openaire,TNCD: Thyroid Nodule Classiﬁcation Dataset,10.57702/oheozt1r,,,2025,,,,,,thyroid ultrasound dataset,-5,T4,False,True
10.5281/zenodo.14785478,openaire,"Dataset of: ""Wearable and wireless time-domain near-infrared spectroscopy system for brain and muscle hemodynamic monitoring""",10.5281/zenodo.14785478,,,2025,,,,,,thyroid ultrasound dataset,-5,T4,False,True
10.21227/j19a-g428,openaire,"""ThyroidMTD (Thyroid Multi-Task Dataset) """,10.21227/j19a-g428,,,2025,,,,,,thyroid ultrasound dataset,-5,T4,False,True
10.5281/zenodo.12706818,openaire,Task 3 Dataset for Dreaming of Electrical Waves: Generative Modeling of Cardiac Excitation Waves using Diffusion Models,10.5281/zenodo.12706818,,,2024,,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.5281/zenodo.7489354,openaire,"Dataset related to the article Mapelli M, Zagni P, Ferrara R, Calbi V, Mattavelli I, Muratori M, et al. Unexpected Huge Prevalence of Intracardiac Extension of Wilms Tumor-A Single Center Experience from a Ugandan Hospit",10.5281/zenodo.7489354,,,2022,,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.5281/zenodo.5510289,openaire,"Dataset from: ""Prognostic Value of Dynamic Changes in Pulmonary Congestion During Exercise Stress Echocardiography in Heart Failure With Preserved Ejection Fraction""",10.5281/zenodo.5510289,,,2021,,,,,,lung ultrasound dataset,-5,T4,False,True
10.17632/vsrhnnm9ct.1,openaire,Dataset to identify lung disorders among COVID-19 patients using machine learning models,10.17632/vsrhnnm9ct.1,,,2021,,,,,,lung ultrasound dataset,-5,T4,False,True
10.20350/digitalcsic/16400,openaire,Table1_Sleep apnea-COPD overlap syndrome is associated with larger left carotid atherosclerotic plaques.docx [Dataset],10.20350/digitalcsic/16400,,,2023,,,,,,lung ultrasound dataset,-5,T4,False,True
10.20350/digitalcsic/16401,openaire,Table3_Sleep apnea-COPD overlap syndrome is associated with larger left carotid atherosclerotic plaques.docx [Dataset],10.20350/digitalcsic/16401,,,2023,,,,,,lung ultrasound dataset,-5,T4,False,True
openaire:Table2_Sleep apnea-COPD overlap syndrome is associated with larger left carotid atherosclerotic plaques.docx [D,openaire,Table2_Sleep apnea-COPD overlap syndrome is associated with larger left carotid atherosclerotic plaques.docx [Dataset],,,,2024,,,,,,lung ultrasound dataset,-5,T4,False,True
10.5281/zenodo.3362478,zenodo,"EWAS results ""Prediagnostic breast milk DNA methylation alterations in women who develop breast cancer""",10.5281/zenodo.3362478,https://zenodo.org/records/3362478,,2019,cc-by-4.0,open,1,303708630,dataset,breast ultrasound,-5,T2,False,False
10.5281/zenodo.17788679,zenodo,"Breast cancer–specific CIBERSORTx signature matrices (major, minor, subset levels) and associated reference resources",10.5281/zenodo.17788679,https://zenodo.org/records/17788679,,2025,cc-by-4.0,open,19,452832994,dataset,breast ultrasound,-5,T4,False,True
10.5281/zenodo.7489355,zenodo,"Dataset related to the article Mapelli M, Zagni P, Ferrara R, Calbi V, Mattavelli I, Muratori M, et al. Unexpected Huge Prevalence of Intracardiac Extension of Wilms Tumor-A Single Center Experience from a Ugandan Hospit",10.5281/zenodo.7489355,https://zenodo.org/records/7489355,,2022,,restricted,0,0,dataset,cardiac ultrasound,-5,T4,False,True
10.5281/zenodo.10559650,zenodo,Morphological Changes of Anomalous Coronary Arteries From the Aorta During the Cardiac Cycle Assessed by IVUS in Resting Conditions,10.5281/zenodo.10559650,https://zenodo.org/records/10559650,,2024,cc-by-4.0,restricted,0,0,dataset,cardiac ultrasound,-5,T4,False,True
10.5281/zenodo.13887046,zenodo,Efficient Semantic Diffusion Architectures for Model Training on Synthetic Echocardiograms Dataset,10.5281/zenodo.13887046,https://zenodo.org/records/13887046,,2024,cc-by-4.0,open,2,20899064020,dataset,cardiac ultrasound,-5,T4,False,True
10.5281/zenodo.6757747,zenodo,Ambient temperature CiPA dynamic hERG protocol dataset recorded on the SyncroPatch 384SE,10.5281/zenodo.6757747,https://zenodo.org/records/6757747,,2022,cc-by-4.0,open,38,9517348149,dataset,cardiac ultrasound,-5,T4,False,True
10.5281/zenodo.4541178,zenodo,"Dataset from the article Garatti A, Daprati A, Cottini M, Russo CF, Tomba MD, Troise G, Salsano A, Santini F, Scrofani R, Nicolò F, Mikus E, Albertini A, Di Marco L, Pacini D, Picichè M, Salvador L, Actis Dato GM, Centof",10.5281/zenodo.4541178,https://zenodo.org/records/4541178,,2021,,restricted,0,0,dataset,cardiac ultrasound,-5,T4,False,True
10.5061/dryad.dbrv15f3f,zenodo,Trafficking dataset for: A massively parallel assay accurately discriminates between functionally normal and abnormal variants in a hotspot domain of KCNH2,10.5061/dryad.dbrv15f3f,https://zenodo.org/records/6507718,,2022,cc-zero,open,30,167273153355,dataset,cardiac ultrasound,-5,T4,False,True
10.5281/zenodo.21800730,zenodo,JNU-CTG: A Large-Scale Continuous Cardiotocography Dataset for Fetal Well-being Assessment,10.5281/zenodo.21800730,https://zenodo.org/records/21800730,,2026,cc-by-4.0,open,1,156915297,dataset,fetal ultrasound,-5,T4,False,True
10.5281/zenodo.7376882,zenodo,A tunable physiomimetic stretch system evaluated with precision cut lung slices and recellularized human lung scaffolds,10.5281/zenodo.7376882,https://zenodo.org/records/7376882,,2022,cc-by-4.0,open,14,4455024,dataset,lung ultrasound,-5,T4,False,True
10.5281/zenodo.19012445,zenodo,GWAS summary statistics for three latent factors of musculoskeletal disorders,10.5281/zenodo.19012445,https://zenodo.org/records/19012445,,2026,cc-by-4.0,open,4,640172153,dataset,musculoskeletal ultrasound,-5,T4,False,True
10.5281/zenodo.10069266,zenodo,"Dataset for paper ""Motoneuron-driven computational muscle modelling with motor unit resolution and subject-specific musculoskeletal anatomy""",10.5281/zenodo.10069266,https://zenodo.org/records/10069266,,2023,cc-by-4.0,open,1,80250770,dataset,musculoskeletal ultrasound,-5,T4,False,True
10.5281/zenodo.6125137,zenodo,"Clinical indications for image-guided interventional procedures in the musculoskeletal system, lower limb",10.5281/zenodo.6125137,https://zenodo.org/records/6125137,,2022,,restricted,0,0,dataset,musculoskeletal ultrasound,-5,T4,False,True
10.5281/zenodo.14826721,zenodo,Data and Code for the Analysis of the Relationship Between Physical Activity and Musculoskeletal Pain in University Staff,10.5281/zenodo.14826721,https://zenodo.org/records/14826721,,2025,cc-by-4.0,restricted,0,0,dataset,musculoskeletal ultrasound,-5,T4,False,True
10.5281/zenodo.4459546,zenodo,Genome-wide association study identifies RNF123 locus as associated with chronic widespread musculoskeletal pain,10.5281/zenodo.4459546,https://zenodo.org/records/4459546,,2021,cc-by-4.0,open,2,1267611124,dataset,musculoskeletal ultrasound,-5,T4,False,True
10.5281/zenodo.21457212,zenodo,OpticNerveSeg: Public Dataset for Cranial Nerve II Segmentation from Multimodal MRI,10.5281/zenodo.21457212,https://zenodo.org/records/21457212,,2026,,open,1,254186,dataset,nerve ultrasound,-5,T4,False,True
10.5061/dryad.3j9kd51jb,zenodo,Muscle mass of the long head of the biceps following single and double nerve transfer,10.5061/dryad.3j9kd51jb,https://zenodo.org/records/5893435,,2022,cc-zero,open,1,12643,dataset,nerve ultrasound,-5,T4,False,True
10.5281/zenodo.15039138,zenodo,Proprioceptive Deficits and Postural Instability in Adolescent Idiopathic Scoliosis: A Comparative Study of Balance Control and Key Predictors.,10.5281/zenodo.15039138,https://zenodo.org/records/15039138,,2025,cc-by-4.0,open,1,24792,dataset,scoliosis ultrasound,-5,T1,False,False
10.5281/zenodo.5506712,zenodo,"Dataset related to article: ""Laser photocoagulation therapy for thyroid nodules: long-term outcome and predictors of efficacy""",10.5281/zenodo.5506712,https://zenodo.org/records/5506712,,2021,,restricted,0,0,dataset,thyroid ultrasound,-5,T4,False,True
10.5281/zenodo.3709005,zenodo,"Dataset related to article ""Senescent thyrocytes and thyroid tumor cells induce M2-like macrophage polarization of human monocytes via a PGE2-dependent mechanism.""",10.5281/zenodo.3709005,https://zenodo.org/records/3709005,,2020,cc-by-4.0,open,1,17887,dataset,thyroid ultrasound,-5,T4,False,True
10.5281/zenodo.11180146,zenodo,Data for: Classification of benign-malignant thyroid nodules based on hyperspectral technology,10.5281/zenodo.11180146,https://zenodo.org/records/11180146,,2024,cc-by-4.0,open,11,27064880039,dataset,thyroid ultrasound,-5,T4,False,True
10.5281/zenodo.14750884,zenodo,CD105 (Endoglin) Expression as a Prognostic Marker in Aggressive Papillary Thyroid Carcinoma,10.5281/zenodo.14750884,https://zenodo.org/records/14750884,,2025,cc-by-4.0,open,96,134069695,dataset,thyroid ultrasound,-5,T4,False,True
10.5281/zenodo.13900964,zenodo,Thyroid scan image dataset for the study of thyroid pathologies in adult patients,10.5281/zenodo.13900964,https://zenodo.org/records/13900964,,2024,cc-by-4.0,open,1,33796805,dataset,thyroid ultrasound,-5,T4,False,True
10.5281/zenodo.13743210,zenodo,"EcoAdvDepression Post-Intervention Tracked, Metrics, and Clean Tracked Centres",10.5281/zenodo.13743210,https://zenodo.org/records/13743210,,2024,cc-by-4.0,open,3,15303327,dataset,tracked ultrasound spine,-5,T1,False,False
10.5281/zenodo.13743184,zenodo,"EcoAdvDepression Pre-Intervention Tracked, Metrics, and Clean Tracked Centres",10.5281/zenodo.13743184,https://zenodo.org/records/13743184,,2024,cc-by-4.0,open,3,14879945,dataset,tracked ultrasound spine,-5,T1,False,False
10.5281/zenodo.1473724,zenodo,The OpenEar library of 3D models of the human temporal bone based on computed tomography and micro-slicing,10.5281/zenodo.1473724,https://zenodo.org/records/1473724,,2019,cc-by-4.0,open,8,59127186130,dataset,ultrasound bone segmentation,-5,T4,False,True
10.5281/zenodo.3835682,zenodo,Learn2Reg Challenge: CT Lung Registration - Training Data,10.5281/zenodo.3835682,https://zenodo.org/records/3835682,,2020,cc-by-4.0,open,1,278965344,dataset,ultrasound CT registration spine,-5,T4,False,True
10.5281/zenodo.4048761,zenodo,Learn2Reg Challenge: CT Lung Registration - Test Data,10.5281/zenodo.4048761,https://zenodo.org/records/4048761,,2020,cc-by-4.0,open,1,136801481,dataset,ultrasound CT registration spine,-5,T4,False,True
10.5281/zenodo.4279348,zenodo,Learn2Reg Challenge: CT Lung Registration,10.5281/zenodo.4279348,https://zenodo.org/records/4279348,,2020,cc-by-4.0,open,1,8097955233,dataset,ultrasound CT registration spine,-5,T4,False,True
10.5281/zenodo.13738577,zenodo,Liver CT Deformable Image Registration Validation Dataset,10.5281/zenodo.13738577,https://zenodo.org/records/13738577,,2024,cc-by-4.0,open,2,3498605356,dataset,ultrasound CT registration spine,-5,T4,False,True
10.5281/zenodo.17859443,datacite,Biomedical Images Dataset,10.5281/zenodo.17859443,https://zenodo.org/doi/10.5281/zenodo.17859443,Zenodo,2025,cc-by-4.0,,,,,thyroid ultrasound dataset,-6,none,False,True
10.5281/zenodo.17859444,datacite,Biomedical Images Dataset,10.5281/zenodo.17859444,https://zenodo.org/doi/10.5281/zenodo.17859444,Zenodo,2025,cc-by-4.0,,,,,thyroid ultrasound dataset,-6,none,False,True
10.5281/zenodo.18752615,datacite,MEIRUS System Automated Scanning Cases,10.5281/zenodo.18752615,https://zenodo.org/doi/10.5281/zenodo.18752615,Zenodo,2026,cc-by-4.0,,,,,thyroid ultrasound dataset,-6,none,False,True
10.5281/zenodo.18752616,datacite,MEIRUS System Automated Scanning Cases,10.5281/zenodo.18752616,https://zenodo.org/doi/10.5281/zenodo.18752616,Zenodo,2026,cc-by-4.0,,,,,thyroid ultrasound dataset,-6,none,False,True
10.21227/7vd8-8f90,datacite,"""A Dataset for Personalized Low-Invasive Evaluation of Chronic Endometritis in Premenopausal Women""",10.21227/7vd8-8f90,https://ieee-dataport.org/documents/dataset-personalized-low-invasive-evaluation-chronic-endometritis-premenopausal-women,IEEE DataPort,2025,cc-by-4.0,,,,,thyroid ultrasound dataset,-6,none,False,True
10.5281/zenodo.15166387,datacite,Explainable deep learning for medical image segmentation,10.5281/zenodo.15166387,https://zenodo.org/doi/10.5281/zenodo.15166387,Zenodo,2025,,,,,,cardiac ultrasound dataset,-6,none,False,True
10.5281/zenodo.15166386,datacite,Explainable deep learning for medical image segmentation,10.5281/zenodo.15166386,https://zenodo.org/doi/10.5281/zenodo.15166386,Zenodo,2025,,,,,,cardiac ultrasound dataset,-6,none,False,True
10.5281/zenodo.17264585,datacite,FedStenoNet X-ray Coronary Angiography Dataset for Stenosis Detection,10.5281/zenodo.17264585,https://zenodo.org/doi/10.5281/zenodo.17264585,Zenodo,2025,cc-by-4.0,,,,,cardiac ultrasound dataset,-6,none,False,True
10.5281/zenodo.17264586,datacite,FedStenoNet X-ray Coronary Angiography Dataset for Stenosis Detection,10.5281/zenodo.17264586,https://zenodo.org/doi/10.5281/zenodo.17264586,Zenodo,2025,cc-by-4.0,,,,,cardiac ultrasound dataset,-6,none,False,True
10.17632/rbx3ybd5zx,datacite,Data for Dual-Probe Transcranial Full-waveform Inversion: a Brain Phantom Feasibility Study,10.17632/rbx3ybd5zx,https://data.mendeley.com/datasets/rbx3ybd5zx,Mendeley Data,2023,cc-by-4.0,,,,,cardiac ultrasound dataset,-6,T3,False,False
