file_id,directory_label,filename,bytes,md5,content_type,restricted,storage_identifier,download_endpoint,local_status
228070,US/US_recon,URS16_R1.zip,2520237,de29995259b4bfe3e7a47e94497c98df,application/zip,False,s3://dataverse:19378016976-7592f4a40285,https://rdr.kuleuven.be/api/access/datafile/228070,NOT_DOWNLOADED
227210,US/US_labels,URS16_R1.zip,77961126,b796083fb50eafd15c059d50708f6414,application/zip,False,s3://dataverse:193696a28f0-6efadf3d324d,https://rdr.kuleuven.be/api/access/datafile/227210,NOT_DOWNLOADED
227259,US/URS16,URS16_R1.zip,1261580807,42b47db91ebbeb2f0c8632c0541d9bfd,application/zip,False,s3://dataverse:1936966bc23-1bca3fa27bbc,https://rdr.kuleuven.be/api/access/datafile/227259,NOT_DOWNLOADED
227299,US/URS16,URS16_R2.zip,1252569048,292d31d644e805b4a6837e25b3dff013,application/zip,False,s3://dataverse:19369c71e56-4b067eb97b99,https://rdr.kuleuven.be/api/access/datafile/227299,NOT_DOWNLOADED
227185,US/URS16,URS16_R3.zip,682071016,42685c6b78c66d0af76d8ca3b0bc3188,application/zip,False,s3://dataverse:19369624f38-57ef34085eef,https://rdr.kuleuven.be/api/access/datafile/227185,NOT_DOWNLOADED
226706,CT/URS16,URS16stl.zip,18318843,fccae01597f42b67c9ed97b5ccd44dbd,application/zip,False,s3://dataverse:193694820f6-4e3acc14afa8,https://rdr.kuleuven.be/api/access/datafile/226706,NOT_DOWNLOADED
226803,CT/URS17,URS17_CT_raw.zip,380510980,936bc5b35aab8eb861fd1bf0842bb07d,application/zip,False,s3://dataverse:19369486a17-e88d0f032737,https://rdr.kuleuven.be/api/access/datafile/226803,NOT_DOWNLOADED
227234,US/URS17,URS17_H1.zip,661312122,3c51362b0d3fc7e4c411478124adc8a1,application/zip,False,s3://dataverse:1936986f4eb-a5bd1a9865d1,https://rdr.kuleuven.be/api/access/datafile/227234,NOT_DOWNLOADED
227253,US/URS17,URS17_H2.zip,706352203,43deb2549de05b54dd73329238dd989b,application/zip,False,s3://dataverse:19369820eaf-93bf9db62657,https://rdr.kuleuven.be/api/access/datafile/227253,NOT_DOWNLOADED
227174,US/URS17,URS17_H3.zip,673966960,2f1073d973ef166b2e7ec7a6bebe9990,application/zip,False,s3://dataverse:19369adb148-8afe20f6e347,https://rdr.kuleuven.be/api/access/datafile/227174,NOT_DOWNLOADED
227189,US/URS17,URS17_R1.zip,908706753,b372291f61c67ebc2addad1a4fcebc58,application/zip,False,s3://dataverse:1936950bfeb-c66d4b72b20e,https://rdr.kuleuven.be/api/access/datafile/227189,NOT_DOWNLOADED
