file_id,directory_label,filename,remote_bytes,local_bytes,md5_expected,md5_actual,verified,method,source_doi,endpoint,local_path
226367,,Demographics.csv,1688,1688,ed91198a19b375d5f9cb0164b164aa06,ed91198a19b375d5f9cb0164b164aa06,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226367,data\raw\kuleuven_lumbar\Demographics.csv
226368,,README.txt,3482,3482,e940f58d92e3cb7722741ca4ace376ab,e940f58d92e3cb7722741ca4ace376ab,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226368,data\raw\kuleuven_lumbar\README.txt
358659,US,US_calibration.zip,15226,15226,a80e0b251d7a6a8c0b1d66cde7a37d1d,a80e0b251d7a6a8c0b1d66cde7a37d1d,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/358659,data\raw\kuleuven_lumbar\US\US_calibration.zip
226877,US/US_labels,URS08_H1.zip,50805281,50805281,fdd28717760b2f2662730e69a99d6072,fdd28717760b2f2662730e69a99d6072,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226877,data\raw\kuleuven_lumbar\US\US_labels\URS08_H1.zip
226871,US/US_labels,URS08_R2.zip,46412138,46412138,a3383fe314f3416d707eabba9bef6974,a3383fe314f3416d707eabba9bef6974,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226871,data\raw\kuleuven_lumbar\US\US_labels\URS08_R2.zip
227333,US/US_labels,URS16_H3.zip,65072931,65072931,7b106d7562efe36f72963c9d2713fe59,7b106d7562efe36f72963c9d2713fe59,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/227333,data\raw\kuleuven_lumbar\US\US_labels\URS16_H3.zip
227210,US/US_labels,URS16_R1.zip,77961126,77961126,b796083fb50eafd15c059d50708f6414,b796083fb50eafd15c059d50708f6414,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/227210,data\raw\kuleuven_lumbar\US\US_labels\URS16_R1.zip
226883,US/US_labels,URS26_H3.zip,69409052,69409052,ab8cdf76ab213d39b8c4ad84b2c2873d,ab8cdf76ab213d39b8c4ad84b2c2873d,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226883,data\raw\kuleuven_lumbar\US\US_labels\URS26_H3.zip
226873,US/US_labels,URS26_R1.zip,82763949,82763949,76716fb9121a807adc356674ee0369c1,76716fb9121a807adc356674ee0369c1,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226873,data\raw\kuleuven_lumbar\US\US_labels\URS26_R1.zip
227069,US/US_labels,URS31_D2.zip,113475216,113475216,a32f22724207d0f40edc12a59d4e8381,a32f22724207d0f40edc12a59d4e8381,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/227069,data\raw\kuleuven_lumbar\US\US_labels\URS31_D2.zip
226964,US/US_labels,URS31_R2.zip,113948402,113948402,797c241e3c24831e952dac1d0b15110f,797c241e3c24831e952dac1d0b15110f,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226964,data\raw\kuleuven_lumbar\US\US_labels\URS31_R2.zip
226975,US/US_labels,URS36_D2.zip,108964439,108964439,636fdbc5e306d0fd8fcc775918ec2c07,636fdbc5e306d0fd8fcc775918ec2c07,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/226975,data\raw\kuleuven_lumbar\US\US_labels\URS36_D2.zip
